"","x"
"1",0
"2",0.06
"3",27.5
"4",44.5625
"5",107.28125
"6",148.90243902439
"7",179.065217391304
"8",198.847826086957
"9",210.787234042553
"10",217.54
"11",228.36
"12",280.224489795918
"13",336.244897959184
"14",380.92
"15",426.36170212766
"16",478.142857142857
"17",533.48
"18",630.1
"19",649.38
"20",659.68
"21",663.36
"22",667.72
"23",672.26
"24",673.34
"25",679.8
"26",681.06
"27",683.88
"28",684.68
"29",691.68
"30",692.78
"31",693.6
"32",696.78
"33",698.22
"34",702.26
"35",701.22
"36",701.62
"37",702.9
"38",705.68
"39",706.42
"40",708.78
